,Eosinophil,pair
"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",-0.4692,"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.4396,"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.5535,"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",-0.3326,"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.4813,"('B', 'Basophil', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.1066,"('B', 'Basophil', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.6237,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.3327,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.4274,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.5589,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.3625,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.239,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",0.4088,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.3396,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.0006,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",0.4088,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.6627,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.5625,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.3632,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.5845,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.5598,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.2874,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.1494,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.4034,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",-0.3468,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.1608,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.1177,"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.0406,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.075,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.3013,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.0341,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.0533,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.3259,"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.4386,"('B', 'Basophil', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5585,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.4511,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.4363,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.1281,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",0.5421,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6403,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.2414,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')",0.3797,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.039,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.0757,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.4653,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.5824,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.2542,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil')",0.7307,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.1879,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.4461,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')",0.6937,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.3965,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.4591,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil', 'Stellate')",0.4271,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",-0.0059,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",-0.118,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",-0.3865,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.2478,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",-0.3746,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",-0.4037,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",-0.473,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",-0.5227,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",-0.4353,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",-0.2304,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.0272,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.42,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.0037,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.1119,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.0151,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.2365,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.1449,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.1305,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.2159,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",-0.0086,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.0269,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",0.2271,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",-0.3112,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",-0.1426,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",-0.2083,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.2239,"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.2726,"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.4319,"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.2293,"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.0309,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",-0.0526,"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.0705,"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.3635,"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",-0.3355,"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.6823,"('B', 'CD4', 'CD8', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.1614,"('B', 'CD4', 'CD8', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')",0.4977,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.1706,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.1437,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.5695,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')",0.429,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.1391,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')",0.3994,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')",0.0094,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.0528,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')",0.379,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.6317,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')",0.4484,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.3559,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",0.5195,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.5262,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",-0.1684,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')",-0.5606,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",-0.5657,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')",-0.0925,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.3849,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')",-0.0874,"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.0221,"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'NK', 'Neutrophil')"
